City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
483,Cockburn Town,21.4612,-71.1419,23.98,57,20,3.6,TC,1674090075
484,Santander,43.4647,-3.8044,8.62,71,100,5.81,ES,1674090076
485,Beyneu,45.3167,55.2,-4.16,67,0,4.46,KZ,1674090077
486,Matara,5.9485,80.5353,21.3,76,100,5.25,LK,1674090078
487,Dunedin,-45.8742,170.5036,19.89,72,64,2.24,NZ,1674090050
488,‘Ewa Beach,21.3156,-158.0072,27.77,61,100,5.36,US,1674090080
489,Lewisville,33.0462,-96.9942,18.42,26,0,2.57,US,1674089841
490,Hurghada,27.2574,33.8129,14.72,56,0,3.93,EG,1674090082
491,Sur,22.5667,59.5289,21.46,75,83,6.1,OM,1674090083
492,Sokol'skoye,57.1412,43.1589,-5.45,88,15,7.99,RU,1674090084
493,Revda,56.801,59.9303,-11.68,72,97,3.11,RU,1674090085
494,Jamame,0.0722,42.7506,23.77,82,78,4.64,SO,1674090086
495,Litovko,49.2361,135.1742,-22.24,95,100,3.1,RU,1674090087
496,Walvis Bay,-22.9575,14.5053,18.38,79,90,4.56,NA,1674090088
497,Kuandian,40.7286,124.7847,-7.69,85,64,1.28,CN,1674090090
498,Hammerfest,70.6634,23.6821,-3.75,80,75,5.66,NO,1674090091
499,Cienfuegos,22.1461,-80.4356,20.87,74,0,3.35,CU,1674090093
500,Bekhtery,46.251,32.2927,9.29,86,5,8.41,UA,1674090094
501,Sekoma,-24.4,23.8833,22.35,54,6,4.03,BW,1674090094
502,Priego de Córdoba,37.4381,-4.1952,3.07,89,13,1.92,ES,1674090095
503,Kamenka,51.3223,42.7678,-6.41,80,18,6.4,RU,1674090096
504,Necochea,-38.5473,-58.7368,21.1,80,85,8.79,AR,1674090012
505,Lagoa,39.05,-27.9833,13.16,69,1,2.24,PT,1674089805
506,Bozdar Wada,27.1828,68.636,12.93,17,78,4.22,PK,1674090099
507,Mount Isa,-20.7333,139.5,31.87,37,0,4.12,AU,1674090100
508,Tessalit,20.1986,1.0114,18.1,17,92,0.9,ML,1674090101
509,Riyadh,24.6877,46.7219,7.08,61,80,4.48,SA,1674089874
510,Hatillo,18.4863,-66.8254,23.34,75,1,0.45,PR,1674090103
511,Menzel Salem,35.8567,8.4765,4.3,57,1,3.48,TN,1674090103
512,Pontes e Lacerda,-15.2261,-59.3353,22.23,90,100,1.01,BR,1674090104
513,Severomuysk,56.1481,113.4267,-40.51,97,99,2.47,RU,1674090105
514,Fairbanks,64.8378,-147.7164,-20.78,79,18,0.92,US,1674089950
515,Nouakchott,18.0858,-15.9785,20.96,39,1,5.17,MR,1674090106
516,Sangmélima,2.9333,11.9833,18.84,73,100,1.08,CM,1674090107
517,Sola,-13.8833,167.55,26.06,85,100,14.4,VU,1674090108
518,Kibray,41.3873,69.4641,-9.71,78,64,2.12,UZ,1674090109
519,Rawson,-43.3002,-65.1023,22.27,67,0,7.6,AR,1674090110
520,Andenes,69.3143,16.1194,-0.6,64,100,5.14,NO,1674090111
521,Tilichiki,60.4667,166.1,-22.69,87,100,4.34,RU,1674090111
522,Fallon,39.4735,-118.7774,-0.5,74,100,1.79,US,1674090002
523,Bow Island,49.8668,-111.3684,-2.51,86,13,5.4,CA,1674090002
524,Honghu,29.8206,113.4621,6.32,40,4,0.87,CN,1674090113
525,Klyuchevskiy,53.5317,119.4519,-33.52,93,90,1.77,RU,1674090114
526,Melo,-32.3667,-54.1833,21.23,75,67,6.97,UY,1674090115
527,Gravelbourg,49.8834,-106.5512,-1.97,91,98,2.0,CA,1674090116
528,Azua,18.4532,-70.7349,20.03,69,0,2.96,DO,1674090117
529,Maraã,-1.8333,-65.3667,22.05,97,73,1.24,BR,1674090117
530,Thohoyandou,-22.9456,30.485,21.31,66,100,0.38,ZA,1674090119
531,Pakokku,21.3333,95.1,16.22,65,0,2.08,MM,1674090120
532,Yajalón,17.2333,-92.3333,19.48,89,100,1.04,MX,1674090120
533,Kadoma,34.7333,135.5833,10.1,41,6,1.29,JP,1674090121
534,Aykino,62.2248,49.9922,-3.18,94,100,3.69,RU,1674090122
535,Kathu,7.9178,98.3332,24.9,77,74,4.2,TH,1674089926
536,Soe,-9.8607,124.284,23.94,73,100,1.39,ID,1674090124
537,Cabedelo,-6.9811,-34.8339,25.31,84,46,4.86,BR,1674090125
538,Kimbe,-5.5502,150.1429,25.58,89,100,1.73,PG,1674090127
539,Rovaniemi,66.5,25.7167,-0.33,93,100,5.66,FI,1674090128
